"Entrez_id","Gene_symbol"
"7385","UQCRC2"
"955","ENTPD6"
"10522","DEAF1"
"114609","TIRAP"
"115201","ATG4A"
"255488","RNF144B"
"23431","AP4E1"
"219541","MED19"
"23043","TNIK"
"4152","MBD1"
"84899","TMTC4"
"9927","MFN2"
"10475","TRIM38"
"85456","TNKS1BP1"
"84549","MAK16"
"9900","SV2A"
"5833","PCYT2"
"64423","INF2"
"8943","AP3D1"
"120526","DNAJC24"
"116983","ACAP3"
"1829","DSG2"
"5289","PIK3C3"
"26297","SERGEF"
"64782","AEN"
"9516","LITAF"
"26010","SPATS2L"
"353322","ANKRD37"
"89781","HPS4"
"4677","NARS"
"50813","COPS7A"
"4616","GADD45B"
"162239","ZFP1"
"53834","FGFRL1"
"154791","C7orf55"
"79173","C19orf57"
"84298","LLPH"
"84439","HHIPL1"
"26259","FBXW8"
"387914","SHISA2"
"51125","GOLGA7"
"6605","SMARCE1"
"3310","HSPA6"
"613","BCR"
"1230","CCR1"
"57555","NLGN2"
"57679","ALS2"
"54842","MFSD6"
"157695","C8orf42"
"3912","LAMB1"
"22979","EFR3B"
"2644","GCHFR"
"149837","LOC149837"
"57610","RANBP10"
"147040","KCTD11"
"3606","IL18"
"64802","NMNAT1"
"684","BST2"
"51109","RDH11"
"3663","IRF5"
"223","ALDH9A1"
"127703","C1orf216"
"6139","RPL17"
"2052","EPHX1"
"10201","NME6"
"25766","PRPF40B"
"114088","TRIM9"
"9600","PITPNM1"
"146880","LOC146880"
"26750","RPS6KC1"
"341","APOC1"
"54476","RNF216"
"11173","ADAMTS7"
"51101","FAM164A"
"6310","ATXN1"
"23607","CD2AP"
"26027","ACOT11"
"4144","MAT2A"
"51260","CXorf26"
"23568","ARL2BP"
"10476","ATP5H"
"8705","B3GALT4"
"28957","MRPS28"
"54952","TRNAU1AP"
"11072","DUSP14"
"57205","ATP10D"
"2879","GPX4"
"1161","ERCC8"
"823","CAPN1"
"55876","GSDMB"
"132720","C4orf32"
"80127","C14orf45"
"9911","TMCC2"
"57447","NDRG2"
"10742","RAI2"
"6624","FSCN1"
"9918","NCAPD2"
"26018","LRIG1"
"4175","MCM6"
"3945","LDHB"
"388","RHOB"
"79925","SPEF2"
"9254","CACNA2D2"
"64129","TINAGL1"
"54681","P4HTM"
"5205","ATP8B1"
"168544","ZNF467"
"7009","TMBIM6"
"5351","PLOD1"
"9435","CHST2"
"4602","MYB"
"1466","CSRP2"
"93594","WDR67"
"399665","FAM102A"
"55103","RALGPS2"
"203068","TUBB"
"3712","IVD"
"83594","NUDT12"
"9498","SLC4A8"
"116159","CYYR1"
"7466","WFS1"
"22948","CCT5"
"57580","PREX1"
"51466","EVL"
"1153","CIRBP"
"83439","TCF7L1"
"4320","MMP11"
"84105","PCBD2"
"5690","PSMB2"
"5111","PCNA"
"8565","YARS"
"57510","XPO5"
"262","AMD1"
"135293","PM20D2"
"94241","TP53INP1"
"2770","GNAI1"
"11059","WWP1"
"8531","CSDA"
"11170","FAM107A"
"9812","KIAA0141"
"10797","MTHFD2"
"158376","LOC158376"
"22885","ABLIM3"
"51643","TMBIM4"
"54536","EXOC6"
"338699","ANKRD42"
"8767","RIPK2"
"5889","RAD51C"
"8504","PEX3"
"201232","SLC16A13"
"22868","FASTKD2"
"219293","ATAD3C"
"501","ALDH7A1"
"64131","XYLT1"
"79930","DOK3"
"51317","PHF21A"
"9260","PDLIM7"
"51450","PRRX2"
"10507","SEMA4D"
"4192","MDK"
"9382","COG1"
"1039","CDR2"
"26747","NUFIP1"
"5379","PMS2L1"
"29950","SERTAD1"
"1508","CTSB"
"25851","TECPR1"
"22920","KIFAP3"
"8904","CPNE1"
"2542","SLC37A4"
"27013","C2orf24"
"79157","MFSD11"
"93953","ACRC"
"9400","RECQL5"
"63917","GALNT11"
"805","CALM2"
"55222","LRRC20"
"400657","LOC400657"
"53637","S1PR5"
"27071","DAPP1"
"51535","PPHLN1"
"10208","USPL1"
"9818","NUPL1"
"201514","ZNF584"
"8720","MBTPS1"
"9662","CEP135"
"8189","SYMPK"
"4705","NDUFA10"
"255403","ZNF718"
"1974","EIF4A2"
"1266","CNN3"
"54916","C14orf101"
"64108","RTP4"
"114880","OSBPL6"
"9456","HOMER1"
"84245","MRI1"
"54938","SARS2"
"57465","TBC1D24"
"401548","SNX30"
"723972","LOC723972"
"9214","FAIM3"
"26984","SEC22A"
"28951","TRIB2"
"606495","CYB5RL"
"440423","SUZ12P"
"400916","CHCHD10"
"9851","KIAA0753"
"1819","DRG2"
"64744","SMAP2"
"9859","CEP170"
"84444","DOT1L"
"10294","DNAJA2"
"6118","RPA2"
"7528","YY1"
"56132","PCDHB3"
"51538","ZCCHC17"
"10484","SEC23A"
"79066","METT10D"
"283487","C13orf29"
"79796","ALG9"
"647024","C6orf132"
"84000","TMPRSS13"
"57092","PCNP"
"10011","SRA1"
"389203","C4orf52"
"23308","ICOSLG"
"23020","SNRNP200"
"122809","SOCS4"
"5932","RBBP8"
"10120","ACTR1B"
"5147","PDE6D"
"92106","OXNAD1"
"10903","MTMR11"
"81577","GFOD2"
"23469","PHF3"
"54862","CC2D1A"
"150368","FAM109B"
"64218","SEMA4A"
"4642","MYO1D"
"137492","VPS37A"
"79411","GLB1L"
"9220","TIAF1"
"130617","ZFAND2B"
"9679","FAM53B"
"388566","ZNF470"
"54431","DNAJC10"
"8994","LIMD1"
"9255","AIMP1"
"55610","CCDC132"
"8772","FADD"
"5383","PMS2L5"
"55603","FAM46A"
"5976","UPF1"
"23408","SIRT5"
"9792","SERTAD2"
"55425","KIAA1704"
"1375","CPT1B"
"23230","VPS13A"
"1999","ELF3"
"506","ATP5B"
"56675","NRIP3"
"54477","PLEKHA5"
"6170","RPL39"
"51337","C8orf55"
"999","CDH1"
"4216","MAP3K4"
"391356","C2orf79"
"727957","HEATR7A"
"10329","TMEM5"
"26160","IFT172"
"2109","ETFB"
"57559","STAMBPL1"
"1606","DGKA"
"9829","DNAJC6"
"26578","OSTF1"
"7059","THBS3"
"7582","ZNF33B"
"116039","OSR2"
"55326","AGPAT5"
"9709","HERPUD1"
"55501","CHST12"
"3831","KLC1"
"728642","CDK11A"
"5328","PLAU"
"3845","KRAS"
"255104","TMCO4"
"9002","F2RL3"
"80279","CDK5RAP3"
"22859","LPHN1"
"9901","SRGAP3"
"2697","GJA1"
"6322","SCML1"
"85365","ALG2"
"22835","ZFP30"
"55616","ASAP3"
"81555","YIPF5"
"388677","NOTCH2NL"
"1595","CYP51A1"
"1027","CDKN1B"
"126308","MOBKL2A"
"8907","AP1M1"
"23126","POGZ"
"26064","RAI14"
"115273","RAB42"
"56984","PSMG2"
"408050","NOMO3"
"302","ANXA2"
"6249","CLIP1"
"10159","ATP6AP2"
"8237","USP11"
"5058","PAK1"
"27246","RNF115"
"9564","BCAR1"
"10240","MRPS31"
"6871","TADA2A"
"10585","POMT1"
"84545","MRPL43"
"84657","C3orf42"
"7702","ZNF143"
"113622","ADPRHL1"
"23648","SSBP3"
"7694","ZNF135"
"6505","SLC1A1"
"162073","ITPRIPL2"
"10286","BCAS2"
"1429","CRYZ"
"57109","REXO4"
"84901","NFATC2IP"
"51526","C20orf111"
"3281","HSBP1"
"9830","TRIM14"
"26205","GMEB2"
"57128","LYRM4"
"466","ATF1"
"10300","KATNB1"
"55958","KLHL9"
"4854","NOTCH3"
"5906","RAP1A"
"90459","ERI1"
"150094","SIK1"
"6734","SRPR"
"7384","UQCRC1"
"26100","WIPI2"
"133418","EMB"
"8771","TNFRSF6B"
"64282","PAPD5"
"55852","TEX2"
"23322","RPGRIP1L"
"84376","HOOK3"
"84919","PPP1R15B"
"60490","PPCDC"
"27230","SERP1"
"25930","PTPN23"
"3321","IGSF3"
"57103","C12orf5"
"4534","MTM1"
"79145","CHCHD7"
"153733","CCDC112"
"5836","PYGL"
"4092","SMAD7"
"10613","ERLIN1"
"200765","TIGD1"
"157869","C8orf84"
"11221","DUSP10"
"54934","C12orf41"
"5429","POLH"
"23118","TAB2"
"84793","MGC12982"
"334","APLP2"
"84838","ZNF496"
"2130","EWSR1"
"64840","PORCN"
"9826","ARHGEF11"
"9263","STK17A"
"4673","NAP1L1"
"81615","TMEM163"
"10313","RTN3"
"10542","HBXIP"
"56160","NDNL2"
"25839","COG4"
"79734","KCTD17"
"23592","LEMD3"
"10717","AP4B1"
"649446","FLJ35776"
"11020","IFT27"
"25771","TBC1D22A"
"25980","C20orf4"
"8131","NPRL3"
"51524","TMEM138"
"84536","C21orf67"
"7559","ZNF12"
"9014","TAF1B"
"155061","ZNF746"
"63920","C5orf54"
"6188","RPS3"
"55746","NUP133"
"51075","TMX2"
"29887","SNX10"
"55740","ENAH"
"493753","C2orf64"
"55015","PRPF39"
"400242","FLJ45244"
"252969","NEIL2"
"1312","COMT"
"84133","ZNRF3"
"9789","SPCS2"
"29937","NENF"
"91373","UAP1L1"
"830","CAPZA2"
"3299","HSF4"
"85002","FAM86B1"
"9625","AATK"
"26235","FBXL4"
"25844","YIPF3"
"1635","DCTD"
"84984","C3orf34"
"9094","UNC119"
"4548","MTR"
"10058","ABCB6"
"80145","THOC7"
"7629","ZNF76"
"9145","SYNGR1"
"153642","ARSK"
"84083","ZRANB3"
"388591","RNF207"
"84681","HINT2"
"57522","SRGAP1"
"57623","ZFAT"
"84254","CAMKK1"
"54680","ZNHIT6"
"57646","USP28"
"51379","CRLF3"
"8665","EIF3F"
"2153","F5"
"5082","PDCL"
"1967","EIF2B1"
"134510","UBLCP1"
"64089","SNX16"
"55869","HDAC8"
"7128","TNFAIP3"
"7005","TEAD3"
"9688","NUP93"
"55314","TMEM144"
"92558","CCDC64"
"1849","DUSP7"
"1264","CNN1"
"9025","RNF8"
"6713","SQLE"
"252884","ZNF396"
"9338","TCEAL1"
"375035","SFT2D2"
"32","ACACB"
"9778","KIAA0232"
"79980","DSN1"
"55638","SYBU"
"51726","DNAJB11"
"286151","FBXO43"
"3066","HDAC2"
"29899","GPSM2"
"210","ALAD"
"91283","C9orf30"
"540","ATP7B"
"323","APBB2"
"9095","TBX19"
"29078","NDUFAF4"
"492311","C5orf53"
"94121","SYTL4"
"115811","IQCD"
"7433","VIPR1"
"91653","BOC"
"6627","SNRPA1"
"55686","MREG"
"10402","ST3GAL6"
"54838","C10orf26"
"23588","KLHDC2"
"7167","TPI1"
"9919","SEC16A"
"23338","PHF15"
"147463","ANKRD29"
"667","DST"
"80119","PIF1"
"2800","GOLGA1"
"91754","NEK9"
"3159","HMGA1"
"9836","LCMT2"
"2023","ENO1"
"9555","H2AFY"
"2247","FGF2"
"8425","LTBP4"
"3708","ITPR1"
"7844","RNF103"
"80139","ZNF703"
"5902","RANBP1"
"7832","BTG2"
"8624","PSMG1"
"51097","SCCPDH"
"720","C4A"
"146760","RTN4RL1"
"55214","LEPREL1"
"84866","TMEM25"
"5613","PRKX"
"29956","LASS2"
"6478","SIAH2"
"10229","COQ7"
"55116","TMEM39B"
"51474","LIMA1"
"4915","NTRK2"
"221749","C6orf145"
"343990","C2orf55"
"55689","YEATS2"
"2950","GSTP1"
"56902","PNO1"
"83464","APH1B"
"84612","PARD6B"
"908","CCT6A"
"9674","KIAA0040"
"5050","PAFAH1B3"
"10580","SORBS1"
"8140","SLC7A5"
"23339","VPS39"
"84296","GINS4"
"168455","FLJ36031"
"147798","TMC4"
"254013","C12orf72"
"54843","SYTL2"
"5563","PRKAA2"
"4645","MYO5B"
"10781","ZNF266"
"493754","LOC493754"
"8974","P4HA2"
"80271","ITPKC"
"92344","GORAB"
"9690","UBE3C"
"64418","TMEM168"
"83658","DYNLRB1"
"144811","C13orf31"
"1453","CSNK1D"
"64174","DPEP2"
"51439","FAM8A1"
"55791","C1orf103"
"5782","PTPN12"
"84945","ABHD13"
"84626","KRBA1"
"55572","FOXRED1"
"64776","C11orf1"
"59274","MESDC1"
"200931","OSTalpha"
"9306","SOCS6"
"55698","RADIL"
"8667","EIF3H"
"8323","FZD6"
"55276","PGM2"
"222194","RSBN1L"
"5814","PURB"
"51205","ACP6"
"79595","SAP130"
"27163","NAAA"
"23169","SLC35D1"
"339942","C3orf47"
"254251","LCORL"
"4076","CAPRIN1"
"154796","AMOT"
"22838","RNF44"
"167227","DCP2"
"51095","TRNT1"
"6048","RNF5"
"29919","C18orf8"
"84364","ARFGAP2"
"63035","BCORL1"
"11252","PACSIN2"
"57609","DIP2B"
"6169","RPL38"
"129138","ANKRD54"
"405","ARNT"
"80207","OPA3"
"10980","COPS6"
"5326","PLAGL2"
"63898","SH2D4A"
"10299","MARCH6"
"51074","APIP"
"11046","SLC35D2"
"4738","NEDD8"
"5636","PRPSAP2"
"387066","SNHG5"
"6515","SLC2A3"
"220002","CYBASC3"
"51251","NT5C3"
"339210","C17orf67"
"1759","DNM1"
"81605","URM1"
"23208","SYT11"
"171586","ABHD3"
"824","CAPN2"
"5093","PCBP1"
"97","ACYP1"
"23474","ETHE1"
"631","BFSP1"
"9126","SMC3"
"55332","DRAM1"
"51141","INSIG2"
"28996","HIPK2"
"22887","FOXJ3"
"5092","PCBD1"
"166929","SGMS2"
"10472","ZNF238"
"84892","C3orf39"
"23511","NUP188"
"26022","TMEM98"
"255252","LRRC57"
"5892","RAD51L3"
"441531","PGAM4"
"26157","GIMAP2"
"10425","ARIH2"
"4610","MYCL1"
"55129","ANO10"
"2222","FDFT1"
"10001","MED6"
"388324","INCA1"
"4627","MYH9"
"79784","MYH14"
"84280","BTBD10"
"653857","ACTR3C"
"23514","KIAA0146"
"55108","BSDC1"
